#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2020 01 03 16 15 00 1 3472.822
2020 01 03 16 30 00 1 3472.834
2020 01 03 16 45 00 1 3472.849
2020 01 03 17 00 00 1 3472.863
2020 01 03 17 15 00 1 3472.877
2020 01 03 17 30 00 1 3472.887
2020 01 03 17 45 00 1 3472.902
2020 01 03 18 00 00 1 3472.912
2020 01 03 18 15 00 1 3472.923
2020 01 03 18 30 00 1 3472.929
2020 01 03 18 45 00 1 3472.939
2020 01 03 19 00 00 1 3472.946
2020 01 03 19 15 00 1 3472.949
2020 01 03 19 30 00 1 3472.952
2020 01 03 19 45 00 1 3472.953
2020 01 03 20 00 00 1 3472.949
2020 01 03 20 15 00 1 3472.946
2020 01 03 20 30 00 1 3472.939
2020 01 03 20 45 00 1 3472.933
2020 01 03 21 00 00 1 3472.921
2020 01 03 21 15 00 1 3472.909
2020 01 03 21 30 00 1 3472.896
2020 01 03 21 45 00 1 3472.882
2020 01 03 22 00 00 1 3472.867
2020 01 03 22 15 00 1 3472.850
2020 01 03 22 30 00 1 3472.834
2020 01 03 22 45 00 1 3472.817
2020 01 03 23 00 00 1 3472.796
2020 01 03 23 15 00 1 3472.777
2020 01 03 23 30 00 1 3472.758
2020 01 03 23 45 00 1 3472.739
2020 01 04 00 00 00 1 3472.720
2020 01 04 00 15 00 1 3472.698
2020 01 04 00 30 00 1 3472.680
2020 01 04 00 45 00 1 3472.664
2020 01 04 01 00 00 1 3472.649
2020 01 04 01 15 00 1 3472.638
2020 01 04 01 30 00 1 3472.628
2020 01 04 01 45 00 1 3472.622
2020 01 04 02 00 00 1 3472.615
2020 01 04 02 15 00 1 3472.614
2020 01 04 02 30 00 1 3472.612
2020 01 04 02 45 00 1 3472.612
2020 01 04 03 00 00 1 3472.615
2020 01 04 03 15 00 1 3472.622
2020 01 04 03 30 00 1 3472.630
2020 01 04 03 45 00 1 3472.639
2020 01 04 04 00 00 1 3472.646
2020 01 04 04 15 00 1 3472.657
2020 01 04 04 30 00 1 3472.669
2020 01 04 04 45 00 1 3472.684
2020 01 04 05 00 00 1 3472.699
2020 01 04 05 15 00 1 3472.715
2020 01 04 05 30 00 1 3472.731
2020 01 04 05 45 00 1 3472.748
2020 01 04 06 00 00 1 3472.764
2020 01 04 06 15 00 1 3472.781
2020 01 04 06 30 00 1 3472.797
2020 01 04 06 45 00 1 3472.813
2020 01 04 07 00 00 1 3472.828
2020 01 04 07 15 00 1 3472.845
2020 01 04 07 30 00 1 3472.860
2020 01 04 07 45 00 1 3472.875
2020 01 04 08 00 00 1 3472.886
2020 01 04 08 15 00 1 3472.900
2020 01 04 08 30 00 1 3472.911
2020 01 04 08 45 00 1 3472.923
2020 01 04 09 00 00 1 3472.931
2020 01 04 09 15 00 1 3472.935
2020 01 04 09 30 00 1 3472.939
2020 01 04 09 45 00 1 3472.939
2020 01 04 10 00 00 1 3472.937
2020 01 04 10 15 00 1 3472.932
2020 01 04 10 30 00 1 3472.924
2020 01 04 10 45 00 1 3472.916
2020 01 04 11 00 00 1 3472.905
2020 01 04 11 15 00 1 3472.898
2020 01 04 11 30 00 1 3472.889
2020 01 04 11 45 00 1 3472.878
2020 01 04 12 00 00 1 3472.865
2020 01 04 12 15 00 1 3472.854
2020 01 04 12 30 00 1 3472.844
2020 01 04 12 45 00 1 3472.830
2020 01 04 13 00 00 1 3472.818
2020 01 04 13 15 00 1 3472.806
2020 01 04 13 30 00 1 3472.796
2020 01 04 13 45 00 1 3472.785
2020 01 04 14 00 00 1 3472.776
2020 01 04 14 15 00 1 3472.768
2020 01 04 14 30 00 1 3472.760
2020 01 04 14 45 00 1 3472.756
2020 01 04 15 00 00 1 3472.753
2020 01 04 15 15 00 1 3472.751
2020 01 04 15 30 00 1 3472.749
2020 01 04 15 45 00 1 3472.750
2020 01 04 16 00 00 1 3472.755
2020 01 04 16 15 00 1 3472.756
2020 01 04 16 30 00 1 3472.761
2020 01 04 16 45 00 1 3472.766
2020 01 04 17 00 00 1 3472.773
2020 01 04 17 15 00 1 3472.777
2020 01 04 17 30 00 1 3472.788
2020 01 04 17 45 00 1 3472.797
2020 01 04 18 00 00 1 3472.809
2020 01 04 18 15 00 1 3472.820
2020 01 04 18 30 00 1 3472.833
2020 01 04 18 45 00 1 3472.843
2020 01 04 19 00 00 1 3472.853
2020 01 04 19 15 00 1 3472.864
2020 01 04 19 30 00 1 3472.873
2020 01 04 19 45 00 1 3472.879
2020 01 04 20 00 00 1 3472.887
2020 01 04 20 15 00 1 3472.891
2020 01 04 20 30 00 1 3472.896
2020 01 04 20 45 00 1 3472.897
2020 01 04 21 00 00 1 3472.895
2020 01 04 21 15 00 1 3472.893
2020 01 04 21 30 00 1 3472.890
2020 01 04 21 45 00 1 3472.884
2020 01 04 22 00 00 1 3472.880
2020 01 04 22 15 00 1 3472.871
2020 01 04 22 30 00 1 3472.863
2020 01 04 22 45 00 1 3472.851
2020 01 04 23 00 00 1 3472.839
2020 01 04 23 15 00 1 3472.825
2020 01 04 23 30 00 1 3472.813
2020 01 04 23 45 00 1 3472.797
2020 01 05 00 00 00 1 3472.781
2020 01 05 00 15 00 1 3472.764
2020 01 05 00 30 00 1 3472.747
2020 01 05 00 45 00 1 3472.729
2020 01 05 01 00 00 1 3472.715
2020 01 05 01 15 00 1 3472.700
2020 01 05 01 30 00 1 3472.684
2020 01 05 01 45 00 1 3472.670
2020 01 05 02 00 00 1 3472.657
2020 01 05 02 15 00 1 3472.645
2020 01 05 02 30 00 1 3472.637
2020 01 05 02 45 00 1 3472.628
2020 01 05 03 00 00 1 3472.619
2020 01 05 03 15 00 1 3472.614
2020 01 05 03 30 00 1 3472.612
2020 01 05 03 45 00 1 3472.611
2020 01 05 04 00 00 1 3472.614
2020 01 05 04 15 00 1 3472.619
2020 01 05 04 30 00 1 3472.624
2020 01 05 04 45 00 1 3472.632
2020 01 05 05 00 00 1 3472.642
2020 01 05 05 15 00 1 3472.654
2020 01 05 05 30 00 1 3472.667
2020 01 05 05 45 00 1 3472.682
2020 01 05 06 00 00 1 3472.696
2020 01 05 06 15 00 1 3472.712
2020 01 05 06 30 00 1 3472.729
2020 01 05 06 45 00 1 3472.747
2020 01 05 07 00 00 1 3472.766
2020 01 05 07 15 00 1 3472.787
2020 01 05 07 30 00 1 3472.808
2020 01 05 07 45 00 1 3472.827
2020 01 05 08 00 00 1 3472.849
2020 01 05 08 15 00 1 3472.870
2020 01 05 08 30 00 1 3472.892
2020 01 05 08 45 00 1 3472.912
2020 01 05 09 00 00 1 3472.930
2020 01 05 09 15 00 1 3472.944
2020 01 05 09 30 00 1 3472.960
2020 01 05 09 45 00 1 3472.970
2020 01 05 10 00 00 1 3472.980
2020 01 05 10 15 00 1 3472.984
2020 01 05 10 30 00 1 3472.988
2020 01 05 10 45 00 1 3472.985
2020 01 05 11 00 00 1 3472.985
2020 01 05 11 15 00 1 3472.981
2020 01 05 11 30 00 1 3472.973
2020 01 05 11 45 00 1 3472.966
2020 01 05 12 00 00 1 3472.957
2020 01 05 12 15 00 1 3472.947
2020 01 05 12 30 00 1 3472.933
2020 01 05 12 45 00 1 3472.920
2020 01 05 13 00 00 1 3472.903
2020 01 05 13 15 00 1 3472.884
2020 01 05 13 30 00 1 3472.868
2020 01 05 13 45 00 1 3472.851
2020 01 05 14 00 00 1 3472.834
2020 01 05 14 15 00 1 3472.813
2020 01 05 14 30 00 1 3472.796
2020 01 05 14 45 00 1 3472.780
2020 01 05 15 00 00 1 3472.764
2020 01 05 15 15 00 1 3472.750
2020 01 05 15 30 00 1 3472.737
2020 01 05 15 45 00 1 3472.727
2020 01 05 16 00 00 1 3472.718
2020 01 05 16 15 00 1 3472.710
2020 01 05 16 30 00 1 3472.706
2020 01 05 16 45 00 1 3472.702
2020 01 05 17 00 00 1 3472.702
2020 01 05 17 15 00 1 3472.700
2020 01 05 17 30 00 1 3472.702
2020 01 05 17 45 00 1 3472.707
2020 01 05 18 00 00 1 3472.713
2020 01 05 18 15 00 1 3472.722
2020 01 05 18 30 00 1 3472.731
2020 01 05 18 45 00 1 3472.742
2020 01 05 19 00 00 1 3472.753
2020 01 05 19 15 00 1 3472.764
2020 01 05 19 30 00 1 3472.773
2020 01 05 19 45 00 1 3472.786
2020 01 05 20 00 00 1 3472.798
2020 01 05 20 15 00 1 3472.811
2020 01 05 20 30 00 1 3472.821
2020 01 05 20 45 00 1 3472.833
2020 01 05 21 00 00 1 3472.844
2020 01 05 21 15 00 1 3472.850
2020 01 05 21 30 00 1 3472.858
