#YY,MM,DD,ATMP,WTMP,WVHT
2020.0,3.0,17.0,25.704166666666666,26.849999999999998,1.6833333333333333
2020.0,3.0,18.0,25.785416666666666,26.78333333333333,1.3208333333333333
2020.0,3.0,19.0,25.927777777777777,26.65833333333333,1.4875
2020.0,3.0,20.0,25.564583333333335,26.5,1.9625000000000001
2020.0,3.0,21.0,25.29513888888889,26.370833333333334,2.45
2020.0,3.0,22.0,25.316666666666666,26.212499999999995,2.0708333333333333
2020.0,3.0,23.0,25.785416666666666,26.09583333333333,1.9625000000000001
2020.0,3.0,24.0,25.521527777777777,25.929166666666664,1.6083333333333334
2020.0,3.0,25.0,25.755555555555556,25.95,1.2208333333333332
2020.0,3.0,26.0,25.495833333333334,26.275000000000002,1.0166666666666666
2020.0,3.0,27.0,24.989583333333332,26.59166666666667,0.9458333333333334
